Rank,Symbol,Name,Historical Link,Main Link
82,BTT,BitTorrent(New),https://coinmarketcap.com/currencies/bittorrent-new/historical-data/,https://coinmarketcap.com/currencies/bittorrent-new/
83,CRV,Curve DAO Token,https://coinmarketcap.com/currencies/curve-dao-token/historical-data/,https://coinmarketcap.com/currencies/curve-dao-token/
84,CFX,Conflux,https://coinmarketcap.com/currencies/conflux-network/historical-data/,https://coinmarketcap.com/currencies/conflux-network/
85,MINA,Mina,https://coinmarketcap.com/currencies/mina/historical-data/,https://coinmarketcap.com/currencies/mina/
86,GT,GateToken,https://coinmarketcap.com/currencies/gatetoken/historical-data/,https://coinmarketcap.com/currencies/gatetoken/
87,LUNC,Terra Classic,https://coinmarketcap.com/currencies/terra-luna/historical-data/,https://coinmarketcap.com/currencies/terra-luna/
88,TWT,Trust Wallet Token,https://coinmarketcap.com/currencies/trust-wallet-token/historical-data/,https://coinmarketcap.com/currencies/trust-wallet-token/
89,PEPE,Pepe,https://coinmarketcap.com/currencies/pepe/historical-data/,https://coinmarketcap.com/currencies/pepe/
90,DYDX,dYdX,https://coinmarketcap.com/currencies/dydx/historical-data/,https://coinmarketcap.com/currencies/dydx/
91,COMP,Compound,https://coinmarketcap.com/currencies/compound/historical-data/,https://coinmarketcap.com/currencies/compound/
92,NEXO,Nexo,https://coinmarketcap.com/currencies/nexo/historical-data/,https://coinmarketcap.com/currencies/nexo/
93,GMX,GMX,https://coinmarketcap.com/currencies/gmx/historical-data/,https://coinmarketcap.com/currencies/gmx/
94,BONE,Bone ShibaSwap,https://coinmarketcap.com/currencies/bone-shibaswap/historical-data/,https://coinmarketcap.com/currencies/bone-shibaswap/
95,NFT,APENFT,https://coinmarketcap.com/currencies/apenft/historical-data/,https://coinmarketcap.com/currencies/apenft/
96,WOO,WOO Network,https://coinmarketcap.com/currencies/wootrade/historical-data/,https://coinmarketcap.com/currencies/wootrade/
97,GUSD,Gemini Dollar,https://coinmarketcap.com/currencies/gemini-dollar/historical-data/,https://coinmarketcap.com/currencies/gemini-dollar/
98,FLR,Flare,https://coinmarketcap.com/currencies/flare/historical-data/,https://coinmarketcap.com/currencies/flare/
99,ASTR,Astar,https://coinmarketcap.com/currencies/astar/historical-data/,https://coinmarketcap.com/currencies/astar/
100,DASH,Dash,https://coinmarketcap.com/currencies/dash/historical-data/,https://coinmarketcap.com/currencies/dash/
101,AKT,Akash Network,https://coinmarketcap.com/currencies/akash-network/historical-data/,https://coinmarketcap.com/currencies/akash-network/
102,CAKE,PancakeSwap,https://coinmarketcap.com/currencies/pancakeswap/historical-data/,https://coinmarketcap.com/currencies/pancakeswap/
103,MX,MX TOKEN,https://coinmarketcap.com/currencies/mx-token/historical-data/,https://coinmarketcap.com/currencies/mx-token/
